City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Ukiah,US,2022-06-28 00:02:13,39.1502,-123.2078,99.45,19,0,9.22
272,Zambezi,ZM,2022-06-28 00:04:41,-13.5432,23.1047,55.81,63,20,9.98
273,Azad Shahr,IR,2022-06-28 00:04:41,34.7909,48.5707,61.18,26,0,1.3
274,Champerico,GT,2022-06-28 00:04:41,14.3,-91.9167,81.7,74,5,4.88
275,Bend,US,2022-06-28 00:04:42,44.0582,-121.3153,96.66,16,0,8.05
276,Jalcocotan,MX,2022-06-28 00:04:42,21.4667,-105.1167,88.41,80,39,6.26
277,Chililabombwe,ZM,2022-06-28 00:04:42,-12.3648,27.8229,51.31,88,6,10.25
278,Opelika,US,2022-06-28 00:01:41,32.6454,-85.3783,78.58,86,0,6.91
279,Provideniya,RU,2022-06-28 00:04:43,64.3833,-173.3,42.91,100,100,11.18
280,San Policarpo,PH,2022-06-28 00:04:43,12.1791,125.5072,78.64,90,100,4.85
281,Fomboni,KM,2022-06-28 00:04:43,-12.28,43.7425,78.53,66,1,21.16
282,Atambua,ID,2022-06-28 00:04:43,-9.1061,124.8925,76.46,66,98,7.23
283,Ballina,AU,2022-06-28 00:04:44,-28.8667,153.5667,58.01,71,89,13.18
284,Merauke,ID,2022-06-28 00:04:44,-8.4667,140.3333,79.59,84,100,10.92
285,Anori,BR,2022-06-28 00:01:27,-3.7728,-61.6442,76.68,83,91,2.84
286,Moura,PT,2022-06-28 00:04:44,38.1401,-7.4486,58.98,65,0,7.61
287,Verkhnyaya Inta,RU,2022-06-28 00:04:45,65.9811,60.3094,39.45,89,100,15.52
288,Lima,PE,2022-06-28 00:00:27,-12.0432,-77.0282,63.1,79,46,10.51
289,Mahibadhoo,MV,2022-06-28 00:04:45,3.7833,72.9667,81.82,76,79,11.07
290,Eureka,US,2022-06-28 00:00:06,40.8021,-124.1637,68.13,75,35,7.0
291,Moerai,PF,2022-06-28 00:04:46,-22.4333,-151.3333,73.42,75,100,26.28
292,Port Elizabeth,ZA,2022-06-28 00:00:16,-33.918,25.5701,57.02,49,2,6.29
